Group,Best_Combination,Max_Clipiqa,Max_Score_Sum,Similarity,Threshold
00112_02,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.7_steps_100_captioner_none_swindegrad_v0,0.869656,3.4112949300000004,0.412549,0.3
00112_04,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.9_steps_50_captioner_none_swindegrad_v0,0.862537,3.38311443,0.361153,0.3
00114_01,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.7_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.899266,3.28247643,0.349606,0.3
00118_00,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.6_steps_30_captioner_none_swindegrad_v2_swindegrad_pt_0010000,0.89404,3.36485275,0.300593,0.3
00120_00,WebPhoto_v2_prompt_version_3_cfg_scale_6_strength_0.6_steps_100_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.905345,3.36400073,0.40472,0.3
00120_01,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.8_steps_100_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.909858,3.30628069,0.365024,0.3
00121_00,WebPhoto_v2_prompt_version_3_cfg_scale_9_strength_0.9_steps_50_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.90212,3.34319916,0.668268,0.3
00126_00,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.6_steps_75_captioner_none_swindegrad_v2_swindegrad_pt_0030000,0.855657,3.2857484099999996,0.375827,0.3
00127_01,WebPhoto_v2_prompt_version_3_cfg_scale_8_strength_0.6_steps_50_captioner_none_swindegrad_v0,0.912745,3.28888391,0.347313,0.3
00129_00,WebPhoto_v2_prompt_version_3_cfg_scale_7_strength_0.7_steps_50_captioner_none_swindegrad_v0,0.901986,3.4222305299999998,0.540529,0.3
